,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output
0,2.2,1197.18154,5.5,0,1.1,5.25E-06,3846.050964,0.001045984,288270.7911,0.092238155,0.210717003,0.983819281,1.924448925,0.354975086,4.630321475,180506.4175,0.000315375,4.88E-07,0.005378337,4.32E-07,0.000654296,9.16E-07,0.115052117,0.318452699,0.147127528,0.052021741,0.125143739,0.921685969,2.629575016,1.04122072,2.400858092,3.060719803,0.207484964,0.903354942,3.464703366,1.701272498,1.232567081,2.00104996,0.120618304,0.96001825,4.502247079,1.938143245,0.451137615,1.599100468
1,1.1,1605.081687,3.3,0,0,1.04E-05,3270.806979,0.000654048,303589.0913,0.571067876,1.056884357,0.517004624,0.809131448,1.290092149,3.61603715,28000.75179,0.000950626,3.88E-07,0.005354356,4.93E-07,0.000311566,4.37E-07,0.417552692,0.146415811,0.50085968,0.109077465,0.120394736,2.820459515,1.942994208,0.801955981,0.857527529,2.037151647,0.208918386,1.08361069,6.718213111,2.722777055,0.930193863,1.834214441,0.129815265,1.090536582,4.65245995,2.055968999,2.938576078,3.2621521
2,1.1,1280.59246,4.4,0,0,3.03E-06,3621.830181,0.000134752,312408.1356,0.340667833,0.894138135,0.930636822,1.018264634,0.59826774,0.84504561,50353.44755,0.000736708,5.30E-07,0.000723826,8.53E-07,0.000422131,7.88E-07,0.266919689,0.140060913,0.213088595,0.102911996,0.125662087,0.877902021,2.402002887,0.971318086,1.48398139,2.705482349,0.220295019,0.935860211,5.130730898,2.323164764,0.999649515,1.783415148,0.120211947,1.092984439,3.886150794,1.800339592,0.931403444,2.896898478
3,1.1,1231.611587,-4.4,1.1,1.1,8.02E-06,3277.534945,0.000356221,311036.9988,0.750415541,0.376842132,1.504791285,1.031285871,0.850393948,4.792337747,80562.47679,0.000428806,6.40E-07,0.002840566,1.07E-06,0.000971552,6.85E-07,0.276817092,0.130624809,0.526559988,0.073231779,0.120368097,1.009827666,1.977630006,0.617767222,1.03692664,3.3,0.236534703,0.838265865,5.52992366,2.360261021,1.151542498,2.357209953,0.12312026,1.019573604,4.031118651,1.712785836,0.593432039,1.537783074
4,0,1378.965279,4.4,1.1,1.1,7.59E-06,3794.248148,0.000600703,286256.4471,0.512566287,0.583561327,1.859478525,0.448537808,0.561917744,5.438497175,141552.9906,0.000878737,1.09E-06,0.008151783,1.21E-07,0.000493399,9.22E-07,0.11780006,0.323235349,0.439844338,0.077715473,0.119355057,1.295871225,5.517365523,1.158160218,0.389356178,1.726617536,0.208918386,1.541965674,7.63083285,2.97585322,0.464175155,1.77661606,0.120564266,3.464171491,5.265257613,2.179430467,1.750080541,2.521417752
5,2.2,1290.127121,-3.3,1.1,0,8.36E-06,3229.670922,0.000139567,296205.6677,0.31962131,0.146110366,1.921716806,1.54829126,0.713289264,2.898761894,245416.3931,0.000886,1.02E-08,0.003046894,6.06E-07,0.000532397,1.27E-07,0.183912262,0.42285462,0.529887347,0.041224324,0.115020299,3.355211036,1.45559681,0.659893679,0.516637131,1.400566235,0.208918386,6.575177286,6.672433867,2.706902714,0.844803205,2.088064876,0.115600951,6.568986325,4.135642824,1.900383123,0.908874188,2.121080032
6,1.1,1161.670998,3.3,1.1,0,7.40E-06,3283.976997,0.000634975,297179.6202,0.650182494,0.614162736,1.912309306,1.744992599,2.088845607,4.792154004,156867.3601,0.000748218,2.83E-07,0.004847819,6.47E-07,0.000935601,6.25E-07,0.358286893,0.355527418,0.29183776,0.093565214,0.119834717,1.253044965,1.736450728,0.668450815,3.595523233,2.91766949,0.208918386,0.901415923,9.88403368,5.414524605,0.773931817,1.63400443,0.093575201,0.790902196,2.341127299,1.165432629,0.42916361,2.11775947
7,1.1,1075.487519,2.2,1.1,1.1,7.16E-06,3548.077681,0.000515792,298057.7578,0.841818724,0.99954481,0.075211727,1.47763833,0.547965826,4.3634378,170683.993,0.000473444,2.44E-07,0.010952089,5.18E-07,0.000490106,7.23E-07,0.264880112,0.501992829,0.346330988,0.044676692,0.125634103,0.847644155,2.298339775,0.896342284,1.487495501,2.80633723,0.208918386,0.871525516,7.373501049,4.939658733,1.306658325,2.360342436,0.120793151,3.988100276,4.401621229,1.956600235,2.836313321,3.076613872
8,0,1124.426289,0,1.1,0,1.16E-06,3391.928062,0.000910682,291227.88,0.941779295,0.924858088,0.128598764,1.540781876,1.733424697,0.606710584,190961.0939,0.001022221,8.59E-07,0.009336452,2.43E-07,0.000868321,4.32E-07,0.165241126,0.428378728,0.319573101,0.005933136,0.130422851,3.283414233,4.807705476,2.869259814,2.365974141,2.611242051,0.208918386,2.412073898,6.537355646,2.662229687,0.753458259,2.052469577,0.124565633,2.979634596,5.049315191,2.167576389,2.094477158,3.194130133
9,1.1,1088.039099,3.3,0,1.1,8.85E-06,3616.53713,0.000865667,281041.5435,0.11992192,0.999594668,0.869216872,0.65588554,1.762055615,1.600020668,16565.97385,0.000313597,7.65E-07,0.006065095,8.93E-08,0.000788345,5.31E-07,0.53004368,0.518893418,0.154702534,0.045703994,0.120578668,0.982616098,1.924522099,0.772237228,1.599719898,2.171479833,0.221253762,1.929943268,5.480838651,2.211551338,0.333605798,1.279608264,0.120703955,6.320460257,4.603096066,1.894540068,1.974935149,3.267525307
